國文,英文,數學,地理,歷史
86,50,68,68,76
63,54,82,64,84
86,82,76,65,97
74,99,100,63,66
50,81,62,59,82
58,56,56,76,95
79,52,85,57,63
59,73,90,72,78
92,84,63,54,83
60,61,95,80,52
79,63,65,91,87
84,54,64,77,100
61,65,87,83,86
70,88,87,89,65
85,69,63,73,62
60,71,54,68,50
57,67,96,55,95
76,58,92,52,86
70,64,74,92,51
75,91,80,61,50
50,65,75,71,51
59,69,65,75,76
72,53,88,82,93
77,64,67,85,98
87,89,68,98,88
50,91,71,87,56
85,50,56,97,83
60,99,91,51,85
51,88,100,65,57
55,68,93,91,58
96,89,54,60,54
59,80,68,100,52
95,85,69,57,98
51,75,98,67,85
59,82,99,76,87
62,58,83,64,61
55,79,99,57,94
91,50,70,88,79
53,59,67,91,61
90,62,50,97,94
84,89,52,63,50
69,100,72,50,83
93,74,82,77,62
93,65,59,96,91
85,99,80,99,86
78,91,83,79,94
70,55,100,97,99
95,54,99,62,51
85,71,87,62,54
71,73,81,67,76
